request_period_ns,offered_writes_per_us,persistence_latency_ns,max_shared_issue_interval_ns,min_inflight_operations,min_group_commit_writes,serial_capacity_writes_per_us
20.0,10.299199999999999,200.0,48.54745999689297,5,5,2.5
20.0,10.299199999999999,1000.0,48.54745999689297,21,21,0.5
100.0,2.0488,200.0,244.04529480671613,1,1,2.5
100.0,2.0488,1000.0,244.04529480671613,5,5,0.5
