mode,seed,working_set_kib,request_period_ns,reads,writes,avg_read_latency_ns,avg_write_latency_ns,metadata_hit_rate_pct,aead_queue_ns_per_op,metadata_queue_ns_per_read,late_check_rate_pct,late_check_window_ns,ratchets,read_overhead_pct
optimistic,4,4096,20.0,19778,5221,229.2064415006573,231.0153227351082,12.154919607644858,0.16332653306132247,0.0,0.0,0.0,1,11.80802024422307
optimistic,4,4096,100.0,3924,1075,229.21661569826708,231.0,22.60448521916412,0.17003400680136027,0.0,0.0,0.0,0,11.812983267447356
optimistic,4,65536,20.0,19778,5221,229.2064415006573,231.0153227351082,6.1836383860855495,0.16332653306132247,0.0,0.0,0.0,1,11.80802024422307
optimistic,4,65536,100.0,3924,1075,229.21661569826708,231.0,19.520897043832825,0.17003400680136027,0.0,0.0,0.0,0,11.812983267447356
optimistic,5,256,20.0,19863,5136,229.2066656597694,231.01557632398755,95.18703116346977,0.1642065682627305,0.0,0.0,0.0,1,11.808129590131422
optimistic,5,256,100.0,4019,980,229.19805921871114,231.0,60.114456332421,0.15923184636927384,0.0,0.0,0.0,0,11.803931326200555
optimistic,5,4096,20.0,19863,5136,229.2066656597694,231.01557632398755,12.062629008709662,0.1642065682627305,0.0,0.0,0.0,1,11.808129590131422
optimistic,5,4096,100.0,4019,980,229.19805921871114,231.0,22.94103010699179,0.15923184636927384,0.0,0.0,0.0,0,11.803931326200555
optimistic,5,65536,20.0,19863,5136,229.2066656597694,231.01557632398755,5.9054523485878265,0.1642065682627305,0.0,0.0,0.0,1,11.808129590131422
optimistic,5,65536,100.0,4019,980,229.19805921871114,231.0,20.27867628763374,0.15923184636927384,0.0,0.0,0.0,0,11.803931326200555
verified,1,256,20.0,19814,5185,241.11547390733824,236.96894889103183,95.10447158574745,4.711028441137645,0.0,0.0,0.0,1,17.617304345043046
verified,1,256,100.0,3950,1049,262.8805063291139,231.0,60.68354430379747,0.0,0.0,0.0,0.0,0,28.234393331275083
verified,1,4096,20.0,19814,5185,305.7901483799334,289.76046287367404,11.860300797415968,16.773190927637103,0.0,0.0,0.0,1,49.16592603899189
verified,1,4096,100.0,3950,1049,291.2794936708861,231.0,23.31645569620253,0.0,0.0,0.0,0.0,0,42.08755788823712
verified,1,65536,20.0,19814,5185,307.33552033915413,291.1286403085825,6.015948319370143,14.767190687627505,0.0,0.0,0.0,1,49.919766019099576
verified,1,65536,100.0,3950,1049,293.6845569620253,231.0,20.151898734177216,0.0,0.0,0.0,0.0,0,43.260759493670875
verified,2,256,20.0,19877,5122,241.10162499371134,236.68898867629832,95.11998792574332,4.647945917836713,0.0,0.0,0.0,1,17.610548777420167
verified,2,256,100.0,3987,1012,263.3847504389265,231.0,60.0200652119388,0.0,0.0,0.0,0.0,0,28.48036606776903
